,FIRST,SECOND,THIRD,FOURTH,FIFTH,g_b
1990,69.19,63.73,74.3,69.55,64.31,bad
1995,64.52,58.12,71.59,64.7,58.3,bad
2000,65.34,59.03,72.26,65.69,59.35,bad
2001,65.23,58.92,72.17,65.57,59.23,bad
2002,64.95,58.68,71.9,65.4,59.09,bad
2003,64.84,58.53,71.85,65.36,59.01,bad
2004,65.31,58.91,72.36,65.87,59.42,bad
2005,65.37,58.92,72.47,66.1,59.58,bad
2006,66.69,60.43,73.34,67.43,61.12,bad
2007,67.61,61.46,74.02,68.37,62.2,bad
2008,67.99,61.92,74.28,68.77,62.67,bad
2009,68.78,62.87,74.79,69.57,63.65,good
2010,68.94,63.09,74.88,69.69,63.82,good
2011,69.8314948470864,64.0398828384499,75.6055515716791,70.5091496856634,64.6689797532832,good
2012,70.24,64.56,75.86,70.83,65.1,good
2013,70.76,65.13,76.3,71.33,65.64,good
2014,70.93,65.29,76.47,71.44,65.75,good
2015,71.39,65.92,76.71,71.91,66.38,good
2016,71.87,66.5,77.06,72.35,66.91,good
2017,72.7,67.51,77.64,73.16,67.9,good
2018,72.91,67.75,77.82,73.34,68.11,good
2019,73.34,68.24,78.17,73.72,68.56,good
